CpG_ID,207925070004_R01C01,207925070004_R01C02,207925070004_R03C01,207925070004_R03C02,207925070004_R04C02,207925070004_R05C01,207925070004_R06C01,207925070004_R06C02,207925070005_R01C01,207925070005_R02C01
cg00010926,0.959732421727337,0.741695651057667,0.958604237411586,0.939590431346811,0.930115928650707,0.68872044891862,0.668228638375238,0.766343835096801,0.944526975173093,0.940659436632348
cg00010977,0.880976503862275,0.909053877035781,0.860731122465492,0.909523658924061,0.889309937639668,0.89873125811785,0.848934384252565,0.901181379649853,0.899279869941889,0.902522307395801
cg00012521,0.893947185409993,0.893903115177241,0.873341470068028,0.894200423069544,0.883487919890765,0.882393214422541,0.898956483462579,0.909388932723147,0.89443111389798,0.907074651704734
cg00012879,0.648651073048756,0.687437465013884,0.657571885856902,0.71368657564977,0.705550289863565,0.649382152881443,0.625933051829991,0.737748880291182,0.740103877400524,0.743188146716446
cg00013189,0.0537329667307913,0.0523590625037332,0.062964186947163,0.134895258070106,0.121446615659224,0.0583260860955071,0.0744492926248248,0.0987041688473796,0.10368254830536,0.118779911071245
cg00013247,0.863621032138028,0.838005469397763,0.856851487898081,0.474234027543133,0.526099480218698,0.850009547809389,0.87846702665057,0.551718897417952,0.527662584717441,0.492407597628935
cg00014011,0.396113451504035,0.442570349827874,0.433107264347244,0.54842434673741,0.505992685096573,0.544646487516297,0.46221765975544,0.460213912777471,0.55444685362294,0.575460105937951
cg00015001,0.902385664110178,0.904214800933879,0.899220121270572,0.886740206121104,0.880538513789148,0.90448901123019,0.888177111487854,0.884108585414281,0.889175639771208,0.884667376602641
cg00015319,0.401078695519134,0.460404121200957,0.471511793020924,0.21681075892777,0.187598820094382,0.567946477479555,0.464831232854737,0.194899060107223,0.168739643063843,0.178704129411027
cg00016215,0.950933209321673,0.923325426126945,0.945884512196234,0.936197467651822,0.927138276136056,0.94116036919727,0.932187839605426,0.936606334970918,0.934626807942566,0.937665305433944
cg00017571,0.949233947647459,0.957504405627062,0.949820163853824,0.948675110294182,0.940574520790754,0.958261713313399,0.940572654254063,0.949878378895934,0.94509695549728,0.945286564950899
cg00017737,0.0692109035020687,0.0503584630742863,0.0598242117980716,0.176442689781628,0.160384141544535,0.0584813100102445,0.0382608009722974,0.179332191933598,0.135693633474146,0.090719974414132
cg00019068,0.911414644921104,0.910720644014898,0.897530178454591,0.907795799950465,0.907442357796472,0.920230576804842,NA,0.903412917868685,0.90014634185472,0.906487624266587
cg00020468,0.91115804839867,0.908665002006626,0.905453986290841,0.886297558671768,0.880088037684671,0.916863423857297,0.911801532431605,0.902460494414767,0.894001063156729,0.883112695461227
cg00021588,0.946545391549197,0.941133878205144,0.937795974021656,0.94586967358018,0.944697404324497,0.940840716912218,0.939360653399961,0.944260500808644,0.949306367435396,0.945696839094063
cg00022035,0.874708672107019,0.902107986482566,0.888909921845347,0.95175059356269,0.951620817318871,0.907667121797966,0.921261069613449,0.948210606015267,0.955552818756472,0.952288656113355
cg00023292,0.801612379915397,0.786718061837602,0.797893976865102,0.867789407635143,0.833462452173973,0.799953626252499,0.793208644074388,0.827012283003486,0.842937278045723,0.880800441579135
cg00024300,0.754426943096244,0.7351239941094,0.718643761854506,0.834644312899061,0.773926769902825,0.773282148091285,0.754709184565632,0.842175160962074,0.814802270043896,0.825000459108146
cg00027030,0.939166860603654,0.955957048212754,0.949444492029467,0.946848208409689,0.91844397047018,0.944242168110575,0.95837842713783,0.923155123430427,0.953952181067543,0.946755350595946
cg00027863,0.755485528148286,0.766103252777645,0.762850645931791,0.784522108387537,0.773886490489251,0.723118707553922,0.724395207611107,0.812516581368408,0.824804095098778,0.81341243385885
cg00027948,0.696556253220517,0.746018167181861,0.788187081701908,0.794671191783473,0.790248725428514,0.757745564487109,0.654355146227785,0.772793449792088,0.809433439263095,0.802718147470818
cg00029553,0.917784561747697,0.902121944511781,0.905294360210378,0.803608708496383,0.821619543616731,0.910713674648915,0.908187974422706,0.887239010625677,0.82643337853736,0.890289268461353
cg00029755,0.893127725109648,0.846429559090451,0.883187359148255,0.706011738357612,0.694169395430399,0.891747490949134,0.921552918305466,0.585220560971208,0.71855704217996,0.61473110226082
cg00031262,0.714709995181307,0.778053342939165,0.784101263202986,0.739439364670086,0.68988585775554,0.795199157504251,0.735927574645799,0.692340968676952,0.737667971498059,0.738713742533551
cg00031896,0.256817424471627,0.263038645197252,0.401349823012591,0.265227760438296,0.245264502653281,0.26767008220161,0.136415054949618,0.157708514127785,0.312443106978746,0.314334533595325
cg00032045,0.882801588609613,0.916992995292474,0.882108686987266,0.929269587001538,0.915645474435823,0.907865702338054,0.901151385682731,0.92078882043482,0.927695932081056,0.933103239507974
cg00032807,0.150653425075549,0.173528610288948,0.164559142421183,0.0808349954196872,0.130467274157192,0.192560015539976,0.100666304754493,0.123774929516967,0.140985825359479,0.146457859232931
cg00032872,0.0507615581716123,0.0613428560323158,0.0568053542457326,0.118277362890603,0.118578544973278,0.0695575591343909,0.0535244824979293,0.121640628781624,0.100192664765599,0.093299689032462
cg00035308,0.94777670158357,0.953649575969668,0.947775164975645,0.945420993347293,0.945148837850902,0.952920502363207,0.933546226062928,0.948827986211165,0.94292676990091,0.947382964387328
cg00036621,NA,0.897354831087725,NA,NA,0.867378793238442,0.879815585879592,NA,NA,NA,NA
cg00036705,0.95492131106401,0.956339707198939,0.941315097421637,0.940686331512056,0.946889331148121,0.956020560321029,0.951453780876023,0.939111734343942,0.943066008668195,0.941370151998875
cg00036709,0.0396703862661496,0.0430156136996155,0.0402287452258652,0.0449693312333269,0.0392955222855251,0.0424864464782331,0.04100975022061,0.0435588026343872,0.0430878593088885,0.0387602056514912
cg00036788,0.445598283067683,0.409870360537932,0.352086377237286,0.339283872197766,0.276892491739824,0.459888697530084,0.396492010283375,0.325079712606541,0.296978136624543,0.227926241201196
cg00037013,0.128783144532598,0.143060819148341,0.144190429701959,0.136714741319193,0.117945458086652,0.151428171234511,0.131195468825711,0.118229055531414,0.10172999245634,0.105363695609897
cg00037518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cg00037619,NA,NA,NA,0.559397612860066,0.401642489602781,NA,NA,NA,0.579607280674955,NA
cg00037952,0.110244492175735,0.118563138778342,0.0977654911346973,0.452662376165288,0.386253381645654,0.119474913113379,0.084278044785085,0.409651832533405,0.437947888330978,0.352294990515136
cg00038038,0.399668791051415,0.422814549926363,0.314158281473118,0.201066091105793,0.203176309309656,0.524647309073603,NA,0.283775219957912,0.239736673130863,0.276904353068845
cg00038306,0.93679031603171,0.946868976507709,0.936033604344383,0.94262153008135,0.93668028978493,0.949384694297103,0.909144547514384,0.938581945108435,0.939291582736093,0.936920107813684
cg00038376,0.881443578633149,0.894909465849834,0.857143503173367,0.901829928213191,0.90472711493256,0.893114868654097,NA,0.901321389071156,0.876720222779349,0.894055476781926
cg00038849,NA,NA,NA,0.775332874606533,0.714217826382892,NA,NA,0.772012412558155,NA,0.821184877863828
cg00038872,0.851383423737142,0.830549879069017,0.842053921619729,0.648535410823674,0.606723775736969,0.833625943434359,0.82833043852137,0.716969266074534,0.771174470797971,0.635251743515149
cg00038955,0.939290718352875,0.950148804287679,0.94672877308895,0.9500786561257,0.948040688631841,0.947604471945369,0.935335312214221,0.944559569190751,0.943143277796595,0.945048156479771
cg00039469,0.550394256561889,0.680407422075557,0.525721402418037,0.934772462834847,0.935838182549059,0.581371831985582,0.737981324742066,0.941143442281057,0.935984943122736,0.937584497412586
cg00039845,0.636896394301394,0.653854131813671,0.583993776868704,0.802301729901843,0.78059986944867,0.648804946959345,0.676600507824041,0.790606319177895,0.779838847327652,0.779611150472788
cg00042664,0.911236055785485,0.928070234141832,0.915549643223939,0.879996265876182,0.884966554577146,0.92951893173091,0.872553299339705,0.873235349651758,0.851221851138891,0.869049688014522
cg00044472,0.192812154118031,0.187937781812044,0.193167721726097,0.201336946333017,0.267300305770644,0.195378969334657,0.132029036387542,0.209404341807127,0.154927850388427,0.175461536186668
cg00045146,0.412262713674393,0.350178023243825,0.322096795265775,0.232153681283346,0.167555814175404,0.390201666274716,NA,0.167570894353074,0.169056226950783,0.172082459194551
cg00045149,0.0503096767035746,0.0486059800850132,0.0507258947911505,0.0687788514932574,0.068990665039933,0.056436428983886,0.0450053129981351,0.0703898600881423,0.0671017704721626,0.0651949930739871
cg00046033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cg00046073,0.108006172920229,0.0836997293059372,0.0721148840025175,0.308727240415866,0.282225439764015,0.087479048284803,0.0616508625553168,0.223978873197422,0.274960965404594,0.276826473046151
cg00046146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cg00046614,0.636457626284183,0.692682123345209,0.632866378033038,0.751943772950827,0.805095928776145,0.741288270458333,0.638203277506075,0.815716913605205,0.794185719828875,0.78246469340891
cg00046850,0.0104911329748834,0.0113789017255948,0.0106777292679351,0.0143848067479771,0.0189775796140006,0.0107770116188266,0.00978414842656568,0.0132819475133036,0.0112786589116583,0.01595245969979
cg00049527,0.942042408977296,0.949562592266305,0.947211632192924,0.811232534034122,0.870785682750657,0.93338863420431,0.930193846127873,0.890978564009226,0.873747897163425,0.882648982679454
cg00049667,0.108060088595945,0.098632233230174,0.124686392562584,0.240177882926263,0.299532926424203,0.0995699818836047,0.0571164219088447,0.280874557085066,0.332832923550566,0.261933656029906
cg00049718,0.0252877069330824,0.0354451501644752,0.0366896467649001,0.0329420374170798,0.0310197378915552,0.0333631250888733,0.0196431117344938,0.0209114966318904,0.0314517190623283,0.0237240800616818
cg00050268,0.895104548132322,0.920971983069532,0.895754065238772,0.889265307823189,0.879568192561286,0.91875330135228,NA,0.881862670611706,0.865771521067757,0.883463936757312
cg00051709,0.506627873373466,0.548906708492861,NA,0.842422085908224,0.80476444296205,0.560024826835612,NA,0.833512444370414,0.836768854759074,0.837429054087304
cg00051782,0.0601619943453697,0.0591311663686984,0.0596216184607877,0.0670973072663084,0.0632133867066518,0.0649254540854486,0.0559075567281307,0.0609625803504756,0.0557292276034509,0.0575795586506148
cg00054169,0.491657906942707,0.532797663699352,0.564901974405881,0.320594239859633,0.36039740805446,0.640867201515346,0.562938173093323,0.350156633676421,0.38685776298305,0.298885454038876
cg00054831,0.927412711926459,0.808964081053007,0.934883496885072,0.914771375644029,0.844056876660905,0.827012693760451,0.740110626025844,0.796223986147175,0.916050594426789,0.883568593719871
cg00055211,0.454262380668555,0.476487411942277,0.480471873729586,0.516414262607241,0.487696197587575,0.499264016743618,0.518935015354587,0.499494494472681,0.520547194225573,0.56786985097596
cg00055619,0.0436050985110143,0.0372255188891318,0.037848540408864,0.0401749712615865,0.0426845809649266,0.0437058642581874,0.0403370561479136,0.0522285030035231,0.0479167032214384,0.0633968864201254
cg00056413,0.0454414455923607,0.0482693526127601,0.047070336432905,0.0421768083304427,0.0438272479081164,0.0428380726385424,0.0453691853439718,0.0447937527203289,0.0576858086324036,0.0426613610252871
cg00056578,0.0454054059186977,0.0383309202242615,0.0430762126545025,0.0658376698691559,0.0601422904800018,0.0473965304518551,0.0655521454565962,0.0648870780474403,0.0554095577211258,0.0660021575214202
cg00056596,0.289153023398675,0.257255783744683,0.24948665273808,0.378611570971198,0.386905247376529,0.344194584316096,0.247485962650669,0.434778826969086,0.402373131398285,0.398396657435704
cg00057767,0.761000512663026,0.83456935638608,0.752432363296598,0.891245566456724,0.882585688790142,0.860834827431642,0.858643680536019,0.914342791144771,0.930598623664559,0.924089042317548
cg00058449,0.991049906072956,0.988449429939433,0.986134824614181,0.816559526212399,0.793598759489352,0.971957094071612,0.98890600287292,0.836581442020236,0.73828225608813,0.803931538157672
cg00059117,0.649494308675695,0.629212623192537,0.644310264763637,0.599576794574656,0.599928982056662,0.640688527594115,0.652827758874474,0.642128452521993,0.627207526943014,0.600673860075251
cg00059486,0.143820294170015,0.106878081660476,0.0586895036745794,0.0784680898278673,0.0648402038663494,0.105269990050832,0.12137077349353,0.05811643785223,0.0433051670948155,0.0637805433930282
cg00059897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cg00060304,0.082072090371538,0.0945534212646891,0.0727857986199913,0.0605217232215187,0.0566570969745334,0.0720238737820858,0.0622570551430298,0.0596512199626474,0.0560069919395973,0.0514710579522938
cg00060633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cg00060978,0.954390692544821,0.852775764064555,0.946848766193721,0.946568660476884,0.943500310267299,0.838409109516371,0.800294180748877,0.869220512395253,0.947279677576573,0.947899269813339
cg00061093,0.0613901340090994,0.052619153856528,0.0947732149637814,0.062564352251254,0.0649135819056201,0.0503212627217917,0.0481094847664988,0.101910878241995,0.0839608193362261,0.0905393151581885
cg00061684,0.344239395261764,0.430355401474128,NA,0.683779430068991,0.627573440272297,0.446719630850892,NA,0.619979692036313,0.809653312621731,0.64173928049339
cg00065957,0.399178439404535,0.413472260495399,0.389380401739526,0.311067688746769,0.325562390142579,0.403124878826948,0.352343866548869,0.315873870330131,0.319585726719292,0.377346825215103
cg00065997,0.899893130308756,0.74345780790983,0.891510782793147,0.906754495552603,0.912106361196741,0.777434290648263,0.761552308402661,0.822218822449452,0.89200935540367,0.923572900692857
cg00066554,0.783373627658428,0.816036782527227,0.757029423254924,0.797009279734331,0.811102315592114,0.776666279598098,0.803149731927651,0.813065943352745,0.789848614775333,0.814825535620528
cg00067370,0.881515085854927,0.886341176495028,0.859114474026337,0.860599669976219,0.837419392543884,0.879533768947967,NA,0.86167560605168,0.843125813458919,0.839784615831495
cg00067520,0.941893291322651,0.947425972270689,0.950061931004529,0.942288078752011,0.945080366532442,0.951417784982849,0.922483724234594,0.93977744333238,0.939196039136935,0.942567997267583
cg00067701,0.948502997543531,0.951681235236258,0.949063080934306,0.939139269587361,0.941645569932991,0.958449464978675,0.942334767989858,0.945908051674349,0.94267814340896,0.946640616040247
cg00068326,0.861275205381574,0.905207181774017,0.900687913843909,0.906622100690731,0.904175955594462,0.87653675418176,0.893206331795846,0.906892407486718,0.920664366468208,0.915468604599545
cg00068760,0.0583548468356,0.0570883104609284,0.0495540860447258,0.0502092462556736,0.05216376896117,0.0593621331851341,0.0499112363844577,0.0506445755058306,0.0484343515434046,0.0493282076499846
